doc_id,lemma,supersense,matched_verb,verb_type,sentence
montero1997,toad,noun.animal,succumb,agency,A healthy toad should not succumb to an Aeromonas infection .
montero1997,tadpole,noun.animal,obtain,agency,No one ever discovered how the tadpoles obtained oxygen or excreted their wastes .
montero1997,bug,noun.animal,know,agency,"I turned on my flashlight and covered my face with insect repellent ; I offered some to Thierry but he refused : The bugs knew him by now , years ago they had bitten him plenty"
montero1997,rat,noun.animal,know,agency,"A pwazon rat knows how to defend himself , it 's his duty to defend himself with nails and teeth , with a machete , with whatever he needs , but he never screams ."
montero1997,ostrich,noun.animal,kill,agency,"The first time I saw an ostrich killed - its head was cut off — I thought it was a simple , painless death ."
montero1997,worm,noun.animal,join,agency,"The head rolled to one side while the limp worm of a neck , still joined to the body , continued to move for a moment ."
morse1998,cow,noun.animal,know,agency,"the cows out of the barn , and opens the pigs - sty , and we dunna know whither to run , so 's we stands shill - I - shall - I and then follows the pigs up the hill , with the ground a - rollicking under us so 's one foot scarce knows where the other'n be ."
morse1998,Turkeys,noun.animal,say,agency,""" 26 a а а “ Turkeys and deer everywhere , "" said Matthew , before she could answer , "" and cod the size of cows ? ” “ Hast tha seen an alligator ? ”"
morse1998,lamb,noun.animal,recognize,both,"When he went away to boarding school at Worcester and returned at Easter , the lamb did not recognize him ."
morse1998,seed,noun.plant,say,agency,"“ Every seed , ” said Abiah , “ hath its time of ripening . ”"
melville1849,flower,noun.plant,refuse,both,""" Yet so it is , "" said Yoomy , sadly , "" that where that shadow falls , gay flowers refuse to spring ; and men long dwelling therein become shady of face and of soul ."
melville1849,bird,noun.animal,know,agency,"And , in a good measure , this held true of all tongues spoken throughout the Archipelago ; the birds marveling at mankind , and mankind at the birds ; wondering how they could continually sing ; when , for all man knew to the con- trary , it was impossible they could be holding intelligent discourse ."
melville1849,daffodil,noun.plant,say,agency,"Said Yoomy , "" Still I swiftly follow , behind revenge ' Then were showered faded , pallid daffodils ."
melville1849,crocodile,noun.animal,say,agency,""" "" Nothing of the kind , "" said Mohi . about it , minstrel ? crocodiles ."
melville1849,tail,noun.animal,lose,both,"I am the mildest devil that ever enter- ed man ; in propria persona , no antlers do I wear ; my tail has lost its barb , as at last your Mardian lions lose their caudal horns ."
